id,link,screen_name,source,text,time,user_id
926264635388579840,https://www.twitter.com/RepCardenas/statuses/926264635388579840,RepCardenas,Twitter for iPhone,"Did you know – the average family in the 29th district makes $67,971 a year? This can and will happen. Check it out: https://www.census.gov/mycd/?st=06&cd=29 https://twitter.com/repcardenas/status/926264244538134530 QT @RepCardenas This young couple will pay at least $720 MORE in taxes 😤😡👎🏼 https://twitter.com/repcardenas/status/926263711832199168",2017-11-03T01:47:52Z,1222257180
926264591608373248,https://www.twitter.com/andybiggs4az/statuses/926264591608373248,andybiggs4az,Twitter for Android,"I'm now taking time to read the bill, page by page, to determine the effects of the proposed reforms.",2017-11-03T01:47:42Z,702601370344402944
926264512952627200,https://www.twitter.com/Jason2CD/statuses/926264512952627200,Jason2CD,Twitter for iPhone,"Critics are getting desperate. 2X std. deduction, small biz tax cut &amp; 7 brackets to 4. This is big—stay tuned.#MN02 https://www.washingtonpost.com/news/fact-checker/wp/2017/11/02/senate-democrats-falsely-claim-gop-tax-plan-will-raise-taxes-for-most-working-class-families/",2017-11-03T01:47:23Z,20934272
926264459827580930,https://www.twitter.com/andybiggs4az/statuses/926264459827580930,andybiggs4az,Twitter for Android,"House Republicans unveiled our tax reform package today, and I am extremely encouraged by what I heard.",2017-11-03T01:47:11Z,702601370344402944
926264376209891328,https://www.twitter.com/BradSherman/statuses/926264376209891328,BradSherman,Twitter for iPhone,Tune in to @FoxNews at 7 PM. I'll be on The @IngrahamAngle discussing the @GOP #TaxPlan and more following the #Trump interview.,2017-11-03T01:46:51Z,30216513
926264244538134530,https://www.twitter.com/RepCardenas/statuses/926264244538134530,RepCardenas,Twitter for iPhone,"This young couple will pay at least $720 MORE in taxes 😤😡👎🏼 https://twitter.com/repcardenas/status/926263711832199168 QT @RepCardenas Under the Republican tax proposal, Rosa and David actually see a tax increase. https://twitter.com/repcardenas/status/926263598917345280",2017-11-03T01:46:19Z,1222257180
926264089906728960,https://www.twitter.com/adrianoudani/statuses/926201438811971584,LacyClayMO1,Twitter for iPad,"RT @adrianoudani Important “Know Your Rights on DACA"" panel on Friday, November 10 from 1-3 pm at @SLU_CGC. Big thx to panelists and host #ANationofDreamers http://pbs.twimg.com/media/DNqE3ZCUMAA7vsF.jpg",2017-11-03T01:45:42Z,584912320
926263711832199168,https://www.twitter.com/RepCardenas/statuses/926263711832199168,RepCardenas,Twitter for iPhone,"Under the Republican tax proposal, Rosa and David actually see a tax increase. https://twitter.com/repcardenas/status/926263598917345280 QT @RepCardenas They currently itemize their taxes, taking advantage of the SALT, mortgage interest, student loan, and medical expenses deductions. https://twitter.com/repcardenas/status/926263490343587842",2017-11-03T01:44:12Z,1222257180
926263598917345280,https://www.twitter.com/RepCardenas/statuses/926263598917345280,RepCardenas,Twitter for iPhone,"They currently itemize their taxes, taking advantage of the SALT, mortgage interest, student loan, and medical expenses deductions. https://twitter.com/repcardenas/status/926263490343587842 QT @RepCardenas Rosa &amp; David are still paying off student loan debt, and they had large medical bills this year after one of their children became very ill. https://twitter.com/repcardenas/status/926263334940413953",2017-11-03T01:43:45Z,1222257180
926263490343587842,https://www.twitter.com/RepCardenas/statuses/926263490343587842,RepCardenas,Twitter for iPhone,"Rosa &amp; David are still paying off student loan debt, and they had large medical bills this year after one of their children became very ill. https://twitter.com/repcardenas/status/926263334940413953 QT @RepCardenas Rosa and David have three children and live in Sylmar. They are young parents and recently became homeowners. https://twitter.com/repcardenas/status/926263173635825664",2017-11-03T01:43:19Z,1222257180
